Pavadinimas,Kortel?s Nr.,Inv. Nr.,"Vert?, Eur","Sukauptas nusid?v?jimas, Eur","Likutin? vert?, Eur",Kiekis m2
Dvaro 64-93,1323,1241,15.38,1.74,13.64,12.65
Pitmiškio 3-9,1324,1244,483.67,54.56,429.11,26.05
Pitmiškio 3-10,1325,1245,573.45,64.77,508.68,30.96
Pitmiškio 3-12,1326,1246,"1,207.72",136.56,"1,071.16",75.91
Geguži? g. 58-19,1327,1248,"7,674.93",865.58,"6,809.35",35.98
Spindulio g. 6-41,1328,1249,"10,426.32","1,175.85","9,250.47",64.38
K.Korsako 53-10,1331,1250,"27,513.90","2,552.21","24,961.69",50.53
Tilž?s g. 32-16,1332,1251,"25,486.56","2,364.36","23,122.20",47.97
Geguži? g. 77-16,1333,1252,"35,912.88","3,331.52","32,581.36",63.96
Pirties g. 9-40,1334,1253,"24,472.89","2,263.10","22,209.79",51.12
Liepori? g.  9-21,1335,1254,"32,727.06","3,026.52","29,700.54",61.95
Aido g. 3-20,1336,1255,"28,382.76","2,624.71","25,758.05",51.19
Gardino g. 7-20,1337,1258,"18,825.30","1,728.59","17,096.71",35.75
Rasos g. 24-48,1340,1264,"33,306.30","3,036.59","30,269.71",61.32
Architekt? g. 16-2,1341,1268,"20,418.21","1,848.12","18,570.09",35.82
Dariaus ir Gir?no 10-88,1344,1270,"18,246.06","1,639.66","16,606.40",30.37
Vytauto g. 263-83,1345,1271,49.14,13.47,35.67,55.84
Vytauto g. 263-84,1346,1272,29.60,8.07,21.53,33.63
Vytauto g. 263-85,1347,1273,30.84,8.48,22.36,35.05
Vytauto g. 263-86,1348,1274,30.35,8.22,22.13,34.48
Vytauto g. 263-87,1349,1275,30.20,8.18,22.02,34.32
Vytauto g. 263-88,1350,1276,19.75,5.41,14.34,22.44
Vytauto g. 263-89,1351,1277,29.82,8.11,21.71,33.80
Vytauto g. 263-90,1352,1278,29.75,8.10,21.65,33.81
Vytauto g. 263-91,1353,1279,26.68,7.23,19.45,30.32
Vytauto g. 263-93,1357,1281,29.91,8.13,21.78,33.98
Vytauto g. 263-94,1358,1282,30.14,8.18,21.96,34.25
Vytauto g. 263-95,1359,1283,30.49,8.24,22.25,31.64
Vytauto g. 263-96,1360,1284,28.91,7.94,20.97,32.85
Vytauto g. 263-97,1361,1285,14.67,3.94,10.73,16.67
Rasos g. 24-54,1362,1286,"31,858.20","2,816.76","29,041.44",61.32
Dain? g. 56-4,1363,1287,"19,404.54","1,715.71","17,688.83",35.98
Vytauto g. 263-92,1356,1288,30.22,8.15,22.07,34.40
Kauno g. 22 A-10,1364,1289,"12,453.66","1,088.99","11,364.67",48.16
Geguži? g. 49 a-8a,1397,130078,34.90,19.74,15.16,8.17
Medelyno g. 7-7,1424,130176,2.44,1.36,1.08,7.86
Ba?i?n? g. 46-3,1426,130187,19.08,1.83,17.25,27.36
Dain? g. 84-47,1427,130187.,"51,552.36","4,204.58","47,347.78",51.31
Radviliškio g. 96-30,1428,130188.,"32,379.52","2,640.89","29,738.63",32.00
Radviliškio g. 106-13,1429,130189.,"50,451.81","4,114.74","46,337.07",49.94
Krymo g. 36-14,1430,130190.,"36,492.12","2,976.24","33,515.88",36.16
Krymo g. 2-59,1432,130191.,"36,492.12","2,947.29","33,544.83",36.08
Dariaus ir Gir?no g. 20-71,1433,130192.,"53,869.32","4,351.00","49,518.32",47.81
Kvie?i? g. 20-18,1435,130193.,"55,607.04","4,491.31","51,115.73",50.51
Lyros g. 28-74,1437,130194.,"53,579.70","4,327.57","49,252.13",50.28
Dain? g. 50-2,1441,130196.,"53,290.08","4,269.29","49,020.79",51.78
Architekt? g. 36-5,1442,130197.,"40,401.99","3,236.81","37,165.18",36.51
Krymo g. 34-29,1443,130198.,"51,552.36","4,130.08","47,422.28",50.99
?kalovo g. 37,1445,130200.,"14,238.01","1,108.26","13,129.75",160.60
Energetik? g. 1A-17,1446,130201.,"37,650.60","2,980.00","34,670.60",36.37
Dariaus ir Gir?no g. 26-59,1447,130202.,"46,339.20","3,364.59","42,974.61",47.86
Architekt? g. 24-38,1448,130203.,"45,180.72","3,280.59","41,900.13",50.21
Geguži? g. 56-24,1449,130204.,"54,448.56","3,917.87","50,530.69",64.13
Geguži? g. 31-7,1475,13025,"54,448.56","3,865.47","50,583.09",63.95
Aukštabalio g. 12-66,1482,13026,"38,809.08","2,755.16","36,053.92",43.87
Gytari? g. 10-4,1488,13027,"44,022.24","3,125.10","40,897.14",50.37
Aukštabalio 6-51,1496,13028,"30,410.10","1,416.84","28,993.26",61.30
S. Dariaus ir S. Gir?no 14-53,1504,13029,"19,983.78",931.04,"19,052.74",30.41
Aukštabalio g. 6-16,1510,13030,"20,273.40",944.60,"19,328.80",47.60
Sevaltopolio g. 1-45,1511,13031,"20,273.40",944.60,"19,328.80",50.16
,,,,,,
,,,,,,
