Pavadinimas,Kortel?s Nr.,Inv. Nr.,"Vert?, Eur","Sukauptas nusid?v?jimas, Eur","Likutin? vert?, Eur",Kiekis m2
Medelyno 7-108b,0688,120172,7.22,4.03,3.19,19.55
Medelyno g.7-303,0689,120173,11.35,6.30,5.05,33.48
Medelyno g.7-417b,0690,120176,6.99,3.85,3.14,19.13
Medelyno g.7-502a,0691,120177,5.61,2.90,2.71,14.01
Medelyno g.7-502b,0692,120178,6.67,3.70,2.97,19.26
Medelyno g.7-503a,0693,120179,4.98,2.60,2.38,14.00
Medelyno g.7-516,0694,120180,7.37,4.09,3.28,22.63
Medelyno g.7-519a,0695,120181,5.49,2.91,2.58,14.01
Architekt? g.4-11,0697,120183,28.00,7.21,20.79,36.20
Architekt? g.18c-9,0698,120184,31.60,8.68,22.92,36.02
Architekt?  g.32-13,0699,120185,26.72,7.31,19.41,50.32
Architekt? g.32-36,0700,120186,32.31,8.89,23.42,64.36
Architekt? g.36-8,0701,120187,19.58,5.58,14.00,36.51
Architekt? g.50-7,0702,120188,26.86,7.81,19.05,36.24
Dain? g.40a-28,0703,120191,36.01,9.79,26.22,52.31
Dain? g.41-21,0704,120192,30.00,8.64,21.36,63.70
Margi? g.8-2,0705,120193,23.49,23.49,,47.44
Dain? g.48-10,0706,120195,22.35,6.30,16.05,31.20
Dain? g.74-29,0709,120198,25.61,7.34,18.27,50.55
Dain? g.80-41,0710,120199,17.73,4.82,12.91,36.11
Dain? g.86-17,0711,120200,20.05,6.55,13.50,35.94
"Gardino g.5-85, 47/100",0712,120201,13.17,3.75,9.42,49.25
Gardino g.9-6,0713,120202,32.75,10.47,22.28,47.15
Gardino g.9-59,0714,120203,25.30,7.93,17.37,36.47
Margi? g.9-4,0715,120204,16.80,9.93,6.87,34.70
Geguži? g.61-65,0716,120207,42.54,11.15,31.39,50.97
Geguži? g.63-16,0717,120208,47.86,12.87,34.99,33.46
Geguži? g.85-28,0718,120209,39.02,10.26,28.76,49.95
Tilž?s g.33-56,0719,120210,26.07,6.44,19.63,37.28
Tilž?s 61-1,0720,120211,"14,691.88","2,565.10","12,126.78",34.42
Tilž?s g.61-2,0721,120212,"18,449.70","3,221.25","15,228.45",43.22
Tilž?s g.61-3,0722,120213,"18,215.27","3,202.92","15,012.35",42.67
Tilž?s g.61-5,0723,120216,"24,131.91","4,243.46","19,888.45",56.53
Tilž?s 61-6,0724,120217,"14,686.62","2,584.15","12,102.47",34.40
Tilž?s g.61-7,0725,120218,"18,491.69","3,251.62","15,240.07",43.32
Tilž?s g.61-8,0726,120219,"18,204.77","3,201.09","15,003.68",42.65
Tilž?s g.61-9,0727,120220,"22,564.40","3,918.41","18,645.99",52.86
Tilž?s g.61-10,0728,120221,"24,156.61","4,247.75","19,908.86",56.59
Tilž?s g.61-11,0729,120222,"14,831.84","2,608.10","12,223.74",34.75
Tilž?s g.61-12,0730,120223,"18,428.70","3,240.61","15,188.09",43.17
Tilž?s g.61-13,0731,120224,"18,260.76","3,210.87","15,049.89",42.78
Tilž?s g.61-14,0732,120225,"22,742.85","3,999.12","18,743.73",53.28
Margi? g.11-1,0733,120226,16.80,9.93,6.87,38.36
Tilž?s g.61-15,0734,120227,"24,180.89","4,251.96","19,928.93",56.65
Tilž?s g.61-16,0735,120228,"14,877.32","2,616.01","12,261.31",34.85
Tilž?s g.61-17,0736,120229,"18,470.69","3,247.90","15,222.79",43.26
Tilž?s g.61-18,0737,120230,"18,222.27","3,204.14","15,018.13",42.69
Tilž?s g.61-19,0738,120231,"22,756.84","4,001.59","18,755.25",53.31
Tilž?s g.61-20,0739,120232,"24,047.94","4,228.53","19,819.41",56.34
Tilž?s g.61-21,0740,120233,"14,765.36","2,596.22","12,169.14",34.59
Tilž?s g.61-22,0741,120234,"18,393.72","3,234.26","15,159.46",43.30
Tilž?s g.61-23,0742,120235,"18,204.77","3,201.09","15,003.68",42.65
Tilž?s g.61-24,0743,120236,"22,658.87","3,984.37","18,674.50",53.08
Tilž?s g.61-25,0744,120238,"24,313.85","4,275.36","20,038.49",56.37
Tilž?s g.61a-1,0745,120239,"14,017.63","2,463.79","11,553.84",35.13
Tilž?s g.61a-2,0746,120240,"17,284.93","3,038.15","14,246.78",43.32
Tilž?s g.61a-3,0747,120241,"17,013.47","2,997.86","14,015.61",42.64
Tilž?s 61a-4,0748,120242,"21,252.06","3,735.47","17,516.59",53.26
Tilž?s 61a-5,0749,120243,"22,792.55","4,006.36","18,786.19",57.12
Tilž?s g.61a-7,0750,120245,"17,189.61","3,021.42","14,168.19",43.08
Tilž?s g.61a-8,0751,120246,"16,990.58","2,986.54","14,004.04",42.58
Tilž?s g.61a-9,0752,120247,"21,399.29","3,761.26","17,638.03",53.63
Margi? g.11-3,0753,120248,22.59,13.29,9.30,43.49
Tilž?s g.61a-10,0754,120249,"22,743.50","3,997.71","18,745.79",57.00
Tilž?s g.61a-11,0755,120250,"14,115.75","2,481.31","11,634.44",35.38
Tilž?s g. 61a-12,0756,120251,"17,150.83","3,014.65","14,136.18",42.98
Tilž?s g.61a-13,0757,120252,"17,026.55","2,992.86","14,033.69",42.67
Tilž?s 61a-14,0758,120253,"21,382.94","3,758.63","17,624.31",53.59
Tilž?s g.61a-15,0759,120254,"22,884.13","4,022.54","18,861.59",57.35
Tilž?s g.61a-16,0760,120255,"14,096.13","2,477.76","11,618.37",35.33
Tilž?s g.61a-17,0761,120256,"17,392.86","2,892.73","14,500.13",43.22
Tilž?s g.61a-18,0762,120257,"17,046.17","2,996.27","14,049.90",42.72
Tilž?s g.61a-19,0763,120259,"21,278.28","3,740.11","17,538.17",53.33
Tilž?s g.61a-20,0764,120260,"22,743.50","3,997.71","18,745.79",57.00
